U,R
0.00,0.002
0.01,0.00200101
0.02,0.002002041
0.03,0.002003093
0.04,0.002004167
0.05,0.002005263
0.06,0.002006383
0.07,0.002007527
0.08,0.002008696
0.09,0.00200989
0.10,0.002011111
0.11,0.00201236
0.12,0.002013636
0.13,0.002014943
0.14,0.002016279
0.15,0.002017647
0.16,0.002019048
0.17,0.002020482
0.18,0.002021951
0.19,0.002023457
0.20,0.002025
0.21,0.002026582
0.22,0.002028205
0.23,0.00202987
0.24,0.002031579
0.25,0.002033333
0.26,0.002035135
0.27,0.002036986
0.28,0.002038889
0.29,0.002040845
0.30,0.002042857
0.31,0.002044928
0.32,0.002047059
0.33,0.002049254
0.34,0.002051515
0.35,0.002053846
0.36,0.00205625
0.37,0.00205873
0.38,0.00206129
0.39,0.002063934
0.40,0.002066667
0.41,0.002069492
0.42,0.002072414
0.43,0.002075439
0.44,0.002078571
0.45,0.002081818
0.46,0.002085185
0.47,0.002088679
0.48,0.002092308
0.49,0.002096078
0.50,0.0021
0.51,0.002104082
0.52,0.002108333
0.53,0.002112766
0.54,0.002117391
0.55,0.002122222
0.56,0.002127273
0.57,0.002132558
0.58,0.002138095
0.59,0.002143902
0.60,0.00215
0.61,0.00215641
0.62,0.002163158
0.63,0.00217027
0.64,0.002177778
0.65,0.002185714
0.66,0.002194118
0.67,0.00220303
0.68,0.0022125
0.69,0.002222581
0.70,0.002233333
0.71,0.002244828
0.72,0.002257143
0.73,0.00227037
0.74,0.002284615
0.75,0.0023
0.76,0.002316667
0.77,0.002334783
0.78,0.002354545
0.79,0.00237619
0.80,0.0024
0.81,0.002426316
0.82,0.002455556
0.83,0.002488235
0.84,0.002525
0.85,0.002566667
0.86,0.002614286
0.87,0.002669231
0.88,0.002733333
0.89,0.002809091
0.90,0.0029
0.91,0.003011111
0.92,0.00315
0.93,0.003328571
0.94,0.003566667
0.95,0.0039
0.96,0.0044
0.97,0.005233333
0.98,0.0069
0.99,0.0119
1.00,
